"b_rate","b_rateQ","b_hold","b_holdAge","b_loc","b_admin1","b_admin2","b_admin3","b_alt0","logLike"
0,0,0,0,0,0,0,0,0,-26595.2062840776
0,0,0,0,0,0,0,0,0,-26595.2062840776
1.28603477333333e-05,0.000701363541333334,-6.9271552e-06,-2.59047424e-05,-1.63730773333333e-07,-1.55211093333333e-07,-8.21384533333333e-08,-2.1348352e-07,4.50833066666667e-07,-26503.9061960085
-0.000701341789380499,0.000887910980791252,-0.00543156106159388,-0.0197799553851791,-0.000163508292172591,-0.00012285567538404,-0.000123357678966359,-0.000144923136605395,0.000391136490955794,-23903.6143284911
0.0426173944002126,6.68320530462637e-05,-0.0071343284829196,-0.0247333298572036,0.000273862098459497,0.000238005995810706,-0.000912045946116124,0.000397500128778475,0.00027653982152695,-23378.6123732331
0.046526067373239,1.59498718865007e-06,-0.033657462552818,-0.0176814035856718,-0.00476220823572181,-0.00162400471659195,-0.00641381236473287,-0.00102430251873858,0.00906211960006343,-23331.4927821624
0.059838257369189,-0.000215286207827684,-0.0144354234279467,-0.0182681032803837,-0.124024854188312,-0.0426377564697872,-0.143016210663156,-0.0261911814272465,0.211845148560191,-23185.0364383211
0.0765197480845779,-0.000526010903196251,0.0136194303996574,-0.017491650563372,0.188994384628784,-0.161434149722975,-0.194395295093083,-0.337603149865645,0.693432594681707,-23160.1967285197
0.0763752820800521,-0.000522586147442154,0.0137293412275011,-0.0175073290706291,0.194425522310546,-0.139656009180317,-0.20632363272255,-0.349629118597728,0.695608760500599,-23158.3308237033
0.0797369674232255,-0.000611571167272076,0.00463140017648538,-0.0196637980217772,0.249626444946796,-0.148501036567268,-0.338473404368645,-0.175136792730735,0.662111233667028,-22837.6435015795
0.132080628228805,-0.00182001336990028,-0.00492399920404198,-0.0287154692701662,-0.397681204033659,-0.0626011703098559,0.0631669449421162,-0.530921198000472,0.530355423370095,-22755.254601831
0.112157203034071,-0.00133742742322838,-0.0137912569708504,-0.0276767903866838,-0.0372785116847676,-0.0951394454062697,-0.241205008080295,-0.18456326234548,0.52090771583279,-22269.2666525611
0.114350538091316,-0.00138029979265335,-0.0126562409220921,-0.0280012947894104,-0.0373536169859826,-0.105246926207829,-0.241893721645092,-0.183061999462351,0.530202647316088,-22268.6515823141
0.114544183021354,-0.0013833275490153,-0.0127766208991514,-0.0280038456447087,-0.0376820304438715,-0.105874005099365,-0.241657604171608,-0.183613751857385,0.53114536112911,-22268.6421510306
0.114602889756071,-0.00138400812128139,-0.0128197885838421,-0.0280113948736962,-0.0377588627025037,-0.1059311338122,-0.241649082404059,-0.183657386821223,0.531237603038153,-22268.6411998743
0.114601730016888,-0.00138395144597855,-0.0128165171286013,-0.0280124324205373,-0.0377401869929562,-0.105927408758173,-0.241681519548337,-0.183650641297957,0.531259569605223,-22268.6411926275
0.114601730048842,-0.00138394956103891,-0.0128165171276801,-0.028012432422517,-0.0377401869926629,-0.105927408758048,-0.241681519548616,-0.18365064129779,0.531259569605209,-22268.6411926144
0.114601721510153,-0.00138394965465449,-0.0128165170316526,-0.0280124314832125,-0.0377401869715342,-0.105927407562254,-0.241681525873053,-0.1836506393327,0.531259553642447,-22268.6411926138
